compound_name,species,strain,dosage,avg_lifespan_change,max_lifespan_change,gender,significance,pubmed_id
Caffeine,Saccharomyces cerevisiae,BY4741,0.2-0.4 mM,86,,,,18513215
Caffeine,Caenorhabditis elegans,N2,100 mM,-89.5,,,,24764514
Caffeine,Caenorhabditis elegans,N2,75 mM,-82.8,,,,24764514
Caffeine,Caenorhabditis elegans,N2,7.5 mM,-11.6,,,,24764514
Caffeine,Caenorhabditis elegans,N2,30 mM,-24.4,,,,24764514
Caffeine,Caenorhabditis elegans,N2,5 mM,-13.6,,,,24764514
Caffeine,Caenorhabditis elegans,N2,0.5 mM,7.7,,,,24764514
Caffeine,Caenorhabditis elegans,N2,7.5 mM,8.7,,,,24764514
Caffeine,Caenorhabditis elegans,N2,10 mM,16.9,,,,24764514
Caffeine,Caenorhabditis elegans,N2,2.5 mM,17.2,,,,24764514
Caffeine,Caenorhabditis elegans,N2,7.5 mM,19.6,,,,24764514
Caffeine,Caenorhabditis elegans,N2,20 mM,21.6,,,,24764514
Caffeine,Caenorhabditis elegans,N2,50 mM,-40.9,,,,24764514
Caffeine,Caenorhabditis elegans,N2,5 mM,10.8,,,,24764514
Caffeine,Caenorhabditis elegans,N2,10 mM,36.7,,,,24764514
Caffeine,Caenorhabditis elegans,N2,5 mM,28.5,,,,24764514
Caffeine,Caenorhabditis elegans,N2,60 mM,-96,,,,26696878
Caffeine,Caenorhabditis elegans,N2,45 mM,-92,,,,26696878
Caffeine,Caenorhabditis elegans,N2,30 mM,-60,,,,26696878
Caffeine,Caenorhabditis elegans,N2,5 mM,0,,,NS,26696878
Caffeine,Caenorhabditis elegans,N2,15 mM,24,,,,26696878
Caffeine,Caenorhabditis elegans,N2,5 mM,8,,,,26696878
Caffeine,Caenorhabditis elegans,N2,5 mM,35,,,,26696878
Caffeine,Caenorhabditis elegans,N2,5 mM,0,,,NS,26696878
Caffeine,Caenorhabditis elegans,N2,5 mM,65,,,,26696878
Caffeine,Drosophila melanogaster,Canton-S,0.03%,-22.86,-11.6,Male,P<0.05,29093334
Caffeine,Drosophila melanogaster,Canton-S,0.05%,-17.14,-11.6,Male,P<0.05,29093334
Caffeine,Caenorhabditis elegans,N2,50 µg/mL,15.39,,,S,30061824
Kinetin,Zaprionus paravittiger,,3125 ppm,-71,-47.1,Male,,7488181
Kinetin,Zaprionus paravittiger,,625 ppm,-20,0,Male,,7488181
Kinetin,Zaprionus paravittiger,,3125 ppm,-65.7,-55.2,Female,,7488181
Kinetin,Zaprionus paravittiger,,125 ppm,-2.9,17.1,Male,,7488181
Kinetin,Zaprionus paravittiger,,625 ppm,-2.9,-13.2,Female,,7488181
Kinetin,Zaprionus paravittiger,,125 ppm,22.9,15.8,Female,,7488181
Kinetin,Zaprionus paravittiger,,25 ppm,14.2,12.9,Male,,7488181
Kinetin,Zaprionus paravittiger,,25 ppm,80,19.7,Female,,7488181
Metformin,Rattus norvegicus,Fischer 344,300 mg/kg/day,2.3,2.1,,NS,20304770
Metformin,Caenorhabditis elegans,N2,50 mM,40,0,,,20090912
Metformin,Drosophila melanogaster,Dahomey,100 mM,-66,,Female,,23077661
Metformin,Drosophila melanogaster,Dahomey,25 mM,-7,,Female,,23077661
Metformin,Drosophila melanogaster,Dahomey,50 mM,-22,,Female,,23077661
Metformin,Drosophila melanogaster,Dahomey,10 mM,-3,,Female,NS,23077661
Metformin,Drosophila melanogaster,Dahomey,50 mM,-6,,Male,NS,23077661
Metformin,Drosophila melanogaster,Dahomey,1 mM,0,,Female,NS,23077661
Metformin,Drosophila melanogaster,Dahomey,10 mM,-6,,Male,NS,23077661
Metformin,Drosophila melanogaster,Dahomey,2.5 mM,-4,,Male,NS,23077661
Metformin,Drosophila melanogaster,Dahomey,100 mM,-31,,Male,,23077661
Metformin,Drosophila melanogaster,Dahomey,5 mM,0,,Male,NS,23077661
Metformin,Drosophila melanogaster,Dahomey,5 mM,0,,Female,NS,23077661
Metformin,Drosophila melanogaster,Dahomey,1 mM,4,,Male,NS,23077661
Metformin,Drosophila melanogaster,Dahomey,25 mM,-6,,Male,NS,23077661
Metformin,Drosophila melanogaster,Dahomey,5 mM,7,,Male,NS,23077661
Metformin,Drosophila melanogaster,Dahomey,2.5 mM,0,,Female,NS,23077661
Metformin,Mus musculus,C57BL/6J,0.001,5.8,,,,23900241
Metformin,Caenorhabditis elegans,N2,100 mM,6.3,,,NS,24889636
Metformin,Caenorhabditis elegans,N2,12.5 mM,13,,,,24889636
Metformin,Caenorhabditis elegans,N2,6.25 mM,17,,,,24889636
Metformin,Caenorhabditis elegans,N2,25 mM,29.7,,,,24889636
Metformin,Caenorhabditis elegans,N2,50 mM,9.4,,,NS,24889636
Metformin,Caenorhabditis elegans,N2,25 mM,30.6,,,,24889636
Metformin,Caenorhabditis elegans,N2,25 mM,44,,,,24889636
Metformin,Caenorhabditis elegans,N2,25 mM,47.4,,,,24889636
Metformin,Caenorhabditis elegans,N2,25 mM,-4.7,,,NS,24889636
Metformin,Caenorhabditis elegans,N2,25 mM,57.3,,,,24889636
Metformin,Acheta domesticus,,1.78x10^3 g metformin/g diet,39,,Male,,25833406
Metformin,Acheta domesticus,,1.78x10^3 g metformin/g diet,79,,,,25833406
Metformin,Caenorhabditis elegans,N2,20 mM,13.79,,,S,29263362
Metformin,Caenorhabditis elegans,N2,50 mM,43.65,,,S,29027899
Metformin,Mus musculus,C57BL/6,1% In Standard Diet Every Other Week,-1,-6,Male,N/A,29167747
Metformin,Mus musculus,C57BL/6, 1%in Standard Diet on 2 Consecutive Weeks Each Month,-5,-3,Male,N/A,29167747
Metformin,Caenorhabditis elegans,N2,50 mM,24.46,,,,27984722
EGTA,Mytilina brevispina,,0.25% on alternate days,75.9,,,,804507
Hydrogen Sulphide,Caenorhabditis elegans,N2,50 ppm,74,,,,18077331
Resveratrol,Saccharomyces cerevisiae,PSY316AT MATα,10 µM,60.7,,,,12939617
Resveratrol,Saccharomyces cerevisiae,PSY316AT MATα,100 µM,40,,,,12939617
Resveratrol,Saccharomyces cerevisiae,PSY316AT MATα,500 µM,39.5,,,,12939617
Resveratrol,Saccharomyces cerevisiae,PSY316AT MATα,10 µM,70,,,,12939617
Resveratrol,Caenorhabditis elegans,N2,100 µm,10,,,,15254550
Resveratrol,Drosophila melanogaster,Canton S,100 µm,16,,Male,,15254550
Resveratrol,Drosophila melanogaster,Canton S,100 µm,20,,Female,,15254550
Resveratrol,Saccharomyces cerevisiae,BY4741,100 mg/ml,0,,,NS,15684413
Resveratrol,Saccharomyces cerevisiae,PSY316,100 mg/ml,0,,,NS,15684413
Resveratrol,Saccharomyces cerevisiae,W303R,100 mg/ml,0,,,NS,15684413
Resveratrol,Caenorhabditis elegans,N2,0.5 mM,14,,,,16256736
Resveratrol,Caenorhabditis elegans,N2,1 mM,17.8,,,,16256736
Resveratrol,Caenorhabditis elegans,N2,0.1 mM,9.3,,,,16256736
Resveratrol,Nothobranchius furzeri,Gonarezhou,600 µg/g food,56,59,,,16461283
Resveratrol,Saccharomyces cerevisiae,PSY316ATα,10 µM,41.6,,,,17156081
Resveratrol,Saccharomyces cerevisiae,PSY316ATα,10 µM,33.9,,,,17156081
Resveratrol,Caenorhabditis elegans,N2,50 µM,50.8,29.2,,,17460219
Resveratrol,Caenorhabditis elegans,N2,100 µM,7.4,,,,17875315
Resveratrol,Caenorhabditis elegans,N2,100 µM,8.1,,,NS,17875315
Resveratrol,Caenorhabditis elegans,N2,100 µM,7.5,,,,17875315
Resveratrol,Caenorhabditis elegans,N2,100 µM,3.4,,,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,10 µM,-3.4,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,1 µM,-3.4,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,32 µM,-3.4,,Female,,17875315
Resveratrol,Drosophila melanogaster,Canton S,100 µM,-3.4,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,200 µM,0,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,1000 µM,3.4,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,1 µM,0,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,3.2 µM,-3.4,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,3.2 µM,0,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,10 µM,-7.7,,Female,,17875315
Resveratrol,Drosophila melanogaster,Canton S,100 µM,-3.4,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,32 µM,-15.4,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,200 µM,-3.4,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,1000 µM,-3.4,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,10 µM,-8.3,,Male,,17875315
Resveratrol,Drosophila melanogaster,Canton S,1 µM,2.8,,Male,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,32 µM,-13.9,,Male,,17875315
Resveratrol,Drosophila melanogaster,Canton S,3.2 µM,-2.8,,Male,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,100 µM,2.8,,Male,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,1 µM,-6.8,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,1000 µM,-8.3,,Male,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,3.2 µM,4.5,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,200 µM,0,,Male,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,10 µM,-4.5,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,32 µM,9.1,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,200 µM,-4.5,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,1000 µM,4.5,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,100 µM,0,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,10 µM,0,,Male,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,3.2 µM,8.2,,Male,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,100 µM,0,,Male,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,32 µM,-2,,Male,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,200 µM,2,,Male,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,1000 µM,-2,,Male,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,3.2 µM,-2.8,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,1 µM,-5.6,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Canton S,1 µM,0,,Male,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,10 µM,-5.6,,Female,,17875315
Resveratrol,Drosophila melanogaster,Dahomey,32 µM,-2.8,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,200 µM,-2.8,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,1 µM,6.9,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,100 µM,2.8,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,1000 µM,-5.6,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,3.2 µM,-3.4,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,10 µM,3.4,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,100 µM,-3.4,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,1 µM,-3.7,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,32 µM,-3.4,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,1000 µM,6.9,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,200 µM,0,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,3.2 µM,-7.4,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,32 µM,-7.4,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,10 µM,0,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,100 µM,-3.7,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,1000 µM,-7.4,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,3.2 µM,-3,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,10 µM,15.2,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,200 µM,-7.4,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,32 µM,9.1,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,100 µM,0,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,200 µM,12.1,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,1000 µM,3,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,3.2 µM,2.8,,Male,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,1 µM,1.4,,Male,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,1 µM,15.2,,Female,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,100 µM,-1.4,,Male,,17875315
Resveratrol,Drosophila melanogaster,Dahomey,32 µM,0,,Male,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,200 µM,-1.4,,Male,,17875315
Resveratrol,Drosophila melanogaster,Dahomey,1000 µM,-2.8,,Male,NS,17875315
Resveratrol,Drosophila melanogaster,Dahomey,10 µM,0,,Male,NS,17875315
Resveratrol,Anastrepha ludens,,100 µM,-25.3,-9.5,Female,,19264118
Resveratrol,Anastrepha ludens,,100 µM,-14.5,-14.4,Male,NS,19264118
Resveratrol,Anastrepha ludens,,100 µM,-5.8,-7.3,Male,NS,19264118
Resveratrol,Anastrepha ludens,,100 µM ,-4.6,-12.4,Male,NS,19264118
Resveratrol,Anastrepha ludens,,100 µM,-2.8,-4.8,Female,NS,19264118
Resveratrol,Anastrepha ludens,,100 µM,-3.3,-12.1,Male,NS,19264118
Resveratrol,Anastrepha ludens,,100 µM,-0.5,3.7,Male,NS,19264118
Resveratrol,Anastrepha ludens,,100 µM,-1.4,-12,Male,NS,19264118
Resveratrol,Anastrepha ludens,,100 µM,-2.3,16.7,Female,NS,19264118
Resveratrol,Anastrepha ludens,,100 µM,0,-3.4,Female,NS,19264118
Resveratrol,Anastrepha ludens,,100 µM,1.3,16.6,Male,NS,19264118
Resveratrol,Anastrepha ludens,,100 µM,2.3,5,Male,NS,19264118
Resveratrol,Anastrepha ludens,,100 µM,2.6,17.5,Female,NS,19264118
Resveratrol,Anastrepha ludens,,100 µM,1.5,10,Male,NS,19264118
Resveratrol,Anastrepha ludens,,100 µM,2.5,-7.7,Male,NS,19264118
Resveratrol,Anastrepha ludens,,100 µM,3.8,5.7,Female,NS,19264118
Resveratrol,Anastrepha ludens,,100 µM,11.2,-1.4,Female,NS,19264118
Resveratrol,Anastrepha ludens,,100 µM,8,36.3,Male,NS,19264118
Resveratrol,Anastrepha ludens,,100 µM,-4.9,5.4,Female,NS,19264118
Resveratrol,Anastrepha ludens,,100 µM,2.6,13.9,Male,NS,19264118
Resveratrol,Anastrepha ludens,,100 µM,6.2,7.3,Female,NS,19264118
Resveratrol,Anastrepha ludens,,100 µM,15.6,22.5,Female,,19264118
Resveratrol,Anastrepha ludens,,100 µM,-2.3,26.5,Female,NS,19264118
Resveratrol,Anastrepha ludens,,100 µM,-5.6,10.2,Female,NS,19264118
Resveratrol,Caenorhabditis elegans,N2,100 ug/ml,11,11.5,,,21364612
Resveratrol,Drosophila melanogaster,Canton S,200 µM,-2.1,,Male,NS,22083438
Resveratrol,Drosophila melanogaster,Canton S,100 µM ,1,,Male,NS,22083438
Resveratrol,Drosophila melanogaster,Canton S,200 µM,-1.5,,Female,NS,22083438
Resveratrol,Drosophila melanogaster,Canton S,100 µM ,1.8,,Female,NS,22083438
Resveratrol,Mus musculus,UM-HET3,300 mg/kg of food,3.4,,,NS,22451473
Resveratrol,Mus musculus,UM-HET3,300 mg/kg of food,4.7,,Female,NS,22451473
Resveratrol,Saccharomyces cerevisiae,BY4741,10 µM,33.8,,,,22484922
Resveratrol,Apis mellifera,,30 µM,38,,,,22868943
Resveratrol,Nothobranchius guentheri,TZ 97-2,100 µL,13,23,Female,,22960591
Resveratrol,Nothobranchius guentheri,TZ 97-2,100 µL,23,32,Male,,22960591
Resveratrol,Nothobranchius guentheri,,12 µg,42.9,17,,,23220248
Resveratrol,Saccharomyces cerevisiae,K6001,10 µM,17.4,,,,23439553
Resveratrol,Caenorhabditis elegans,N2,100 µM,11.3,,,,23698443
Resveratrol,Daphnia pulex clone TCO,,0.3 µM,-6.5,,,NS,24133070
Resveratrol,Daphnia pulex clone TCO,,3 µM,-32.3,,,,24133070
Resveratrol,Daphnia pulex clone TCO,,3 µM,0,,,NS,24133070
Resveratrol,Daphnia pulex clone TCO,,0.3 µM,0,,,NS,24133070
Resveratrol,Nothobranchius guentheri,TZ 97-2,200 µg/g,14,,Female,,25569124
Resveratrol,Nothobranchius guentheri,TZ 97-2,200 µg/g,19,,Male,,25569124
Resveratrol,Caenorhabditis elegans,N2,10 µM,12.8,9.1,,,25976661
Resveratrol,Caenorhabditis elegans,N2,50 µM,15.4,14.3,,,25976661
Resveratrol,Caenorhabditis elegans,N2,1 µM,6.3,9.1,,NS,25976661
Resveratrol,Drosophila melanogaster,w1118,500 µmol/L,-9.9,-5.28,Male,,29324667
Resveratrol,Caenorhabditis elegans,N2,100 µM,0.87,,,S,27882602
Resveratrol,Caenorhabditis elegans,N2,100 μM,22.2,,,S,27190265
Resveratrol,Caenorhabditis elegans,N2,500 μM,23.7,,,S,27190265
Resveratrol,Caenorhabditis elegans,N2,1 mM,30.4,,,S,27190265
Resveratrol,Caenorhabditis elegans,N2,50 µM,6.24,18.75,,S,27683245
Resveratrol,Caenorhabditis elegans,N2,250 μM,16.66,3.13,,S,27683245
Resveratrol,Caenorhabditis elegans,CB5586,10 μg/ml,5,,,S,28727758
Resveratrol,Saccharomyces cerevisiae,FY631,10 μg/ml,20,,,,28727758
Resveratrol,Saccharomyces cerevisiae,W303-1A,100 μM,-34.8,-25,,S,28412652
Resveratrol,Caenorhabditis elegans,N2,50 µM,60.23,,,S,30320257
Resveratrol,Caenorhabditis elegans,N2,100 μM,13.5,,,S,29874838
Nordihydroguaiaretic acid,Aedes aegypti,,0.001% (w/v),42.7,,Female,,3749035
Nordihydroguaiaretic acid,Aedes aegypti,,0.005% (w/v),6.7,,Female,NS,3749035
Nordihydroguaiaretic acid,Aedes aegypti,,0.01% (w/v),13.6,,Female,NS,3749035
Nordihydroguaiaretic acid,Aedes aegypti,,0.005% (w/v),64.3,,Male,,3749035
Nordihydroguaiaretic acid,Aedes aegypti,,0.001% (w/v),11.9,,Male,NS,3749035
Nordihydroguaiaretic acid,Mus musculus,UM-HET3,2.5 g/kg food,12,0,Male,,18631321
Nordihydroguaiaretic acid,Mus musculus,B6C3F1,3.5 g/kg diet,12,,Male,,25380600
Nordihydroguaiaretic acid,Mus musculus,B6C3F1,1.5 g/kg diet,,,Male,NS,25380600
Nordihydroguaiaretic acid,Mus musculus,B6C3F1,2.5 g/kg diet,,,Male,NS,25380600
Nordihydroguaiaretic acid,Drosophila melanogaster,Oregon-R-C,3 mg/ml,23,,,,25380600
Nordihydroguaiaretic acid,Mus musculus,B6C3F1,4.5 g/kg diet,,,Male,NS,25380600
Nordihydroguaiaretic acid,Drosophila melanogaster,Oregon-R-C,1 mg/ml,,,,NS,25380600
Glucose,Saccharomyces cerevisiae,PSY316,10%,19.8,,,,12391171
Glucose,Saccharomyces cerevisiae,PSY316,20%,63.1,,,,12391171
Glucose,Caenorhabditis elegans,N2,2%,-19,,,,19883616
Glucose,Caenorhabditis elegans,N2,2%,-19,,,,19883616
Glucose,Caenorhabditis elegans,N2,2%,-11,,,,19883616
Glucose,Caenorhabditis elegans,N2,2%,0,,,NS,19883616
Glucose,Caenorhabditis elegans,N2,2%,11,,,NS,19883616
Glucose,Caenorhabditis elegans,N2,2%,-9,,,,19883616
Glucose,Caenorhabditis elegans,N2,2%,-24,,,,19883616
Glucose,Caenorhabditis elegans,N2,2%,-15,,,,19883616
Glucose,Caenorhabditis elegans,N2,2%,-20,,,,19883616
Glucose,Caenorhabditis elegans,N2,2%,-31,,,,19883616
Glucose,Caenorhabditis elegans,N2,2%,-15,,,,19883616
Glucose,Caenorhabditis elegans,N2,2%,-17,,,,19883616
Glucose,Caenorhabditis elegans,N2,2%,-28,,,,19883616
Glucose,Caenorhabditis elegans,N2,2%,-23,,,,19883616
Glucose,Caenorhabditis elegans,N2,2%,-16,,,,19883616
Glucose,Caenorhabditis elegans,N2,102%,-17,,,,19883616
Glucose,Caenorhabditis elegans,N2,111 mM,-46.8,,,S,27680107
Glucose,Caenorhabditis elegans,N2,400 mM,-18.69,,,S,27776915
Glucose,Caenorhabditis elegans,N2,2%,0,0,,0.3862,26764305
Glucose,Caenorhabditis elegans,N2,4%,-23.6,-17.24,,P<0.0001,26764305
Glucose,Caenorhabditis elegans,N2,1%,-5.88,12.5,,n.s. 0.7242,26764305
Glucose,Caenorhabditis elegans,N2,2%,-5.88,12.5,,0.0448,26764305
Glucose,Caenorhabditis elegans,N2,4%,-17.65,-8.33,,<0.0001,26764305
Glucose,Caenorhabditis elegans,N2,1%,12.5,0,,n.s. 0.6619,26764305
Glucose,Caenorhabditis elegans,N2,2%,31.25,14.29,,<0.0001,26764305
Glucose,Caenorhabditis elegans,N2,4%,37.5,7.14,,<0.0001,26764305
Glucose,Caenorhabditis elegans,N2,2%,-23.75,-20.97,,<0.0001,26764305
Minocycline,Drosophila melanogaster,Oregon,0.05 mM,49,,Male,,22330257
Minocycline,Drosophila melanogaster,Oregon R,0.87 mM,50,25,,,23185716
Minocycline,Drosophila melanogaster,Oregon R,0.87 mM,50,66,,,23185716
Minocycline,Drosophila melanogaster,Oregon,0.05 mM,63,,Male,,23947005
Minocycline,Drosophila melanogaster,Canton S,0.05mM,26.7,,Male,p<1E-10,29152127
Minocycline,Drosophila melanogaster,Canton S,0.36mM,15.7,,Male,p<1E-10,29152127
Minocycline,Drosophila melanogaster,Canton S,0.05mM,13.6,,Female,p<1E-10,29152127
Minocycline,Drosophila melanogaster,Canton S,0.36mM,7.7,,Female,p = 5.3E-8,29152127
Minocycline,Drosophila melanogaster,w1118,0.05mM,16.9,,Male,p<1E-10,29152127
Minocycline,Drosophila melanogaster,w1118,0.36mM,6,,Male,p = 0.0039,29152127
Minocycline,Drosophila melanogaster,w1118,0.05mM,22.9,,Female,p<1E-10,29152127
Minocycline,Drosophila melanogaster,w1118,0.36mM,15.6,,Female,p<1E-10,29152127
Minocycline,Caenorhabditis elegans,N2,50 μM,5,,,NS,30479271
Minocycline,Caenorhabditis elegans,N2,100 μM,36,,,S,30479271
Minocycline,Caenorhabditis elegans,N2,200 μM,43,,,S,30479271
Minocycline,Caenorhabditis elegans,N2,50 μM,6,,,S,30479271
Minocycline,Caenorhabditis elegans,N2,100 μM,33,,,S,30479271
Minocycline,Caenorhabditis elegans,N2,200 μM,12,,,S,30479271
Minocycline,Caenorhabditis elegans,N2,50 μM,43,,,S,30479271
Minocycline,Caenorhabditis elegans,N2,100 μM,51,,,S,30479271
Minocycline,Caenorhabditis elegans,N2,200 μM,10,,,S,30479271
Minocycline,Caenorhabditis elegans,N2,50 μM,6,,,S,30479271
Minocycline,Caenorhabditis elegans,N2,100 μM,30,,,S,30479271
Minocycline,Caenorhabditis elegans,N2,200 μM,14,,,S,30479271
Minocycline,Caenorhabditis elegans,N2,50 μM,33,,,S,30479271
Minocycline,Caenorhabditis elegans,N2,100 μM,48,,,S,30479271
Minocycline,Caenorhabditis elegans,N2,200 μM,30,,,S,30479271
Carbonylcyanide-3-chlorophenylhydrazone,Caenorhabditis elegans,N2,10 µM,60,,,,19442682
Thioflavin T,Caenorhabditis elegans,N2,50-100 µM,60,78,,,21451522
Paraquat,Caenorhabditis elegans,N2,0.1 mM,58,48,,,21151885
Paraquat,Caenorhabditis elegans,N2,200 µM,24.6,13.58,,S,28992589
Paraquat,Drosophila melanogaster,Dahomey,1 mM,-41.4,,,S,27076081
Paraquat,Caenorhabditis elegans,N2,100 µM,13.53,,,S,28054425
Paraquat,Caenorhabditis elegans,N2,100 µM,23.73,30.77,,S,27683245
Rifampicin,Caenorhabditis elegans,N2,5 µM,42.6,,,,25720500
Rifampicin,Caenorhabditis elegans,N2,1 µM,34.8,,,,25720500
Rifampicin,Caenorhabditis elegans,N2,50 µM,37.9,,,,25720500
Rifampicin,Caenorhabditis elegans,N2,200 µM,43.4,,,,25720500
Rifampicin,Caenorhabditis elegans,N2,100 µM,49.2,,,,25720500
